mcp_count,source,ra,dec,velo,date_obs,tsys,int,Rms1,Vlo1,Vhi1
1,RXSJ00001+0523,0.04908,5.38817,11992,2016.2,51.3,3,10.9,10631,13365
2,KUG2358+330,0.24208,33.34389,12921,2012.963,36.5,8,4.0,11461,14395
3,0001233+4733537,0.34708,47.56492,5237,2010.922,39.5,10,3.6,3848,6639
4,NGC7805,0.3615,31.43372,4850,2006.097,43.8,5,6.0,3464,6248
5,NGC7806,0.37525,31.44186,4768,2006.097,42.2,5,6.1,3383,6166
6,0001383+2329011,0.40967,23.48364,4382,2011.066,38.9,10,3.8,3000,5776
8,UGC12915,0.42467,23.49592,4336,2005.172,27.1,28,1.5,3994,6788
10,0001523+4020109,0.46792,40.33636,13568,2010.996,45.1,10,4.1,12102,15048
11,CGCG517-014,0.49371,36.64919,9609,2012.963,38.8,10,3.8,8179,11051
12,NGC7811,0.61029,3.35189,7650,2014.066,41.9,9,4.4,6238,9074
13,MRK334,0.79146,21.96053,6600,2003.407,28.1,36,1.8,5198,8014
14,UM016,0.79175,4.74894,17358,2005.827,45.6,44,2.0,16982,20021
15,NGC7814,0.81208,16.14558,1050,2010.364,34.9,10,3.1,-301,2414
16,UGC13,0.8716700000000001,27.351640000000003,7690,2010.364,31.9,10,2.9,6278,9115
17,NGC7808,0.88375,-10.74472,8787,2016.178,44.3,10,4.4,7454,10132
19,NGC7817,0.99546,20.75231,2309,2006.038,42.4,5,5.4,946,3684
20,NGC7819,1.10225,31.47203,4958,2006.097,39.7,5,5.9,3571,6357
21,000435+005055,1.14675,31.47203,6295,2006.329,46.5,10,4.2,4896,7707
22,MRK335,1.5813700000000002,20.20292,7730,2012.958,35.7,10,3.7,6318,9155
24,J0006+1419,1.58171,14.327420000000002,5452,2014.925,50.8,10,5.8,4061,6856
25,UGC46,1.5904200000000002,17.43361,5506,2010.124,36.3,10,3.2,4114,6910
26,UGC00047,1.65983,17.28422,873,2004.06,33.3,28,1.8,537,3268
27,UGC00050,1.66733,26.15447,7552,2005.169,26.8,24,1.6,7202,10056
28,UGC52,1.70617,8.62853,5257,2008.055,52.2,10,5.1,3867,6659
29,NGC1,1.81596,27.70808,4545,2006.038,41.1,5,5.9,3162,5941
