SPECOBJID,N_CL_DETECT,FEXI_7892_LOGL,SXII_7609_LOGL,FEX_6374_LOGL,FEVII_6087_LOGL,FEVII_5720_LOGL,ARX_5533_LOGL,FEVI_5335_LOGL,CAV_5309_LOGL,FEXIV_5303_LOGL,FEVII_5276_LOGL,FEVI_5176_LOGL,FEVII_5159_LOGL,FEVI_5146_LOGL,FEVII_4893_LOGL,FEV_4181_LOGL,FEV_3891_LOGL,FEV_3839_LOGL,FEVII_3759_LOGL,NEV_3426_LOGL,NEV_3346_LOGL,ARIII_7135_LOGL,SII_6731_LOGL,SII_6717_LOGL,NII_6584_LOGL,H_ALPHA_LOGL,NII_6548_LOGL,OI_6302_LOGL,HEI_5876_LOGL,OIII_5007_LOGL,OIII_4959_LOGL,H_BETA_LOGL,OIII_4363_LOGL,H_GAMMA_LOGL,H_DELTA_LOGL,NEIII_3869_LOGL,OII_3729_LOGL,OII_3726_LOGL
1004411058695202816,5,39.64678,-999999,40.16364,40.12742,39.86883,-999999,-999999,-999999,39.14182,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.27946,39.66888,39.68355,40.34821,40.45589,39.86875,39.40863,38.83941,40.74611,40.27424,39.84027,39.20953,39.46547,39.19731,39.73235,39.66949,39.47272
1030318577393100800,2,-999999,-999999,-999999,39.13435,38.78601,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.49878,40.02316,40.05385,40.57005,40.91904,40.09058,39.81007,39.37935,41.01527,40.52685,40.33037,39.38145,39.95142,39.68552,39.94132,40.08253,40.43222
1115849041591166976,2,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,41.29702,40.86603,40.46823,41.04388,41.10192,41.57998,41.79244,41.10052,41.01067,40.07993,42.2946,41.82227,41.23644,40.56203,40.81306,40.55412,41.23803,41.34446,41.42132
1359098671341266944,3,-999999,-999999,39.19227,39.62447,39.35725,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.40461,39.91185,39.91154,40.34434,40.77437,39.86488,39.66758,39.26661,41.14328,40.66393,40.172,39.25129,39.79123,39.48638,40.00463,40.16996,40.21329
1426620784276695040,1,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.21059,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,40.278,40.54434,40.64645,40.87876,41.80703,40.39929,39.99591,40.40561,41.88066,41.39531,41.25052,39.80221,40.90561,40.64713,40.71117,41.12418,41.17518
1476126842271328256,3,-999999,-999999,39.4848,40.20316,39.93156,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,40.06584,40.54843,40.54043,41.37786,41.42398,40.8984,40.16836,39.97953,41.47471,40.99,40.6832,39.60701,40.31455,40.01067,40.41443,40.32255,40.2767
1606716941689448448,3,-999999,-999999,39.05864,39.66088,39.41753,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.62931,40.11527,40.11824,40.76148,40.84552,40.28202,39.9474,39.34805,41.34058,40.86385,40.2898,39.5002,39.90988,39.6586,40.31008,40.09342,40.41188
1631457329717209088,1,-999999,-999999,-999999,-999999,39.204,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.49995,40.25592,40.32118,40.75853,40.85414,40.27906,39.863,39.3122,41.04096,40.55709,40.25033,39.1721,39.8675,39.59282,40.04187,40.07217,40.53087
1915181907654502400,2,-999999,-999999,-999999,39.78915,39.70343,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.48881,40.21912,40.20396,40.9331,41.0977,40.45364,39.85471,39.44832,40.76836,40.27893,40.23513,38.76556,39.78524,39.5111,39.69523,39.79276,40.1372
1982790331816503296,3,-999999,-999999,39.36169,39.43007,39.17529,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.28463,39.65821,39.74512,40.39664,40.42856,39.91717,39.46544,38.82049,40.842,40.36224,39.86856,39.18941,39.52374,39.30629,39.86443,39.54829,43.95417
