mcp_count,source,ra,dec,velo,date_obs,tsys,int,Rms1,Vlo1,Vhi1,specObjID,bestObjID,fiberID,mjd,plate
15,NGC7814,0.81208,16.14558,1050,2010.364,34.9,10,3.1,-301,2414,845640752879921152,1237652944786292742,327,52251,751
17,NGC7808,0.88375,-10.74472,8787,2016.178,44.3,10,4.4,7454,10132,731837999058282496,1237652629098987525,11,52143,650
24,J0006+1419,1.58171,14.32742,5452,2014.925,50.8,10,5.8,4061,6856,845611066065971200,1237656494577483828,219,52251,751
36,J0009+1427,2.28292,14.46553,12429,2014.925,47.7,10,4.9,10973,13898,846764728641415168,1237652942639398970,320,52251,752
63,UGC119,3.26292,14.41,2032,2010.124,39,10,3.5,671,3405,846730368903047168,1237652942639792312,195,52251,752
66,J0016+1556,4.0055,15.943,11751,2014.925,48.1,10,5.1,10302,13214,846836196897220608,1237656496725950670,580,52251,752
67,001620+011113,4.08662,1.18719,13190,2006.186,33.7,10,3.1,11727,14666,438118855022241792,1237657192517599476,523,51795,389
78,ARP256NED02,4.70892,-10.36161,8193,2009.996,35.9,10,3.2,6776,9622,734107665852033024,0,76,52138,652
78,ARP256NED02,4.70892,-10.36161,8193,2009.996,35.9,10,3.2,6776,9622,735298986818168832,0,314,52145,653
79,ARP256NED01,4.71192,-10.37683,8125,2009.996,35.2,10,3.3,6709,9554,735298711940261888,1237672796109733939,313,52145,653
97,UGC233,6.17792,14.82447,5279,2011.966,32.8,10,3,3889,6681,847844723635808256,1237653651837550662,153,52233,753
112,2MASXJ00283779-,7.15746,-9.99833,14873,2012.96,40,10,4,13394,16365,736435606980159488,1237652947454984266,353,52146,654
118,003007-110649,7.53046,-11.11367,3527,2006.48,46.2,10,4.3,2153,4913,736393825538304000,1237652628564934771,201,52146,654
120,003053-091228,7.72412,-9.20789,5961,2006.48,44.6,10,4.1,4565,7369,736452649410390016,1237652948528988208,415,52146,654
125,0032482+1447380,8.20075,14.79392,12601,2011.066,44.4,10,4.1,11144,14072,469543722414008320,1237653651838402681,158,51821,417
125,0032482+1447380,8.20075,14.79392,12601,2011.066,44.4,10,4.1,11144,14072,470712229453391872,1237653651838402681,313,51884,418
125,0032482+1447380,8.20075,14.79392,12601,2011.066,44.4,10,4.1,11144,14072,470713602718853120,1237653651838402681,318,51817,418
127,NGC151,8.51163,-9.70531,3747,2005.971,61.6,5,8.4,2371,5135,736481236712712192,1237652947992445004,519,52146,654
134,J003502-092206,8.76221,-9.36842,6898,2013.105,41.6,9,4.2,5493,8315,736487558904571904,1237652630712942680,542,52146,654
135,CGCG434-024,8.77708,14.35472,11377,2010.124,32.3,10,3,9931,12836,469507438530291712,1237653651301793939,26,51821,417
137,2MASXJ00354660+,8.94429,13.88,17872,2014.066,36.5,10,3.8,16365,19393,470692986875832320,1237649918426284130,243,51817,418
137,2MASXJ00354660+,8.94429,13.88,17872,2014.066,36.5,10,3.8,16365,19393,470695187023161344,1237649918426284130,251,51884,418
144,3C15,9.26704,-1.15217,21885,2004.297,38.2,28,2,20340,23445,776927873381459968,1237663782590808251,207,52261,690
163,J003935-091140,9.89912,-9.19453,4898,2013.105,42.8,8,5.3,3511,6297,737593118114736128,1237652948529905706,468,52162,655
164,003948-090834,9.95162,-9.14294,11233,2006.48,40.1,10,3.6,9789,12691,737579923975202816,1237652948529971355,420,52162,655
167,004103-095628,10.26429,-9.94114,11037,2006.48,41,10,3.8,9594,12493,737516427178698752,1237652900752523443,189,52162,655
171,2MASXJ00412528+,10.35538,13.72611,9984,2012.103,82,10,7.8,8551,11430,471830157632497664,1237649918426874042,284,51868,419
171,2MASXJ00412528+,10.35538,13.72611,9984,2012.103,82,10,7.8,8551,11430,471830706448787456,1237649918426874042,286,51812,419
171,2MASXJ00412528+,10.35538,13.72611,9984,2012.103,82,10,7.8,8551,11430,471831807084488704,1237649918426874042,290,51879,419
176,004214-104415,10.5625,-10.7375,10776,2006.48,43,10,4.1,9336,12229,737480693050796032,1237652629103116398,59,52162,655
179,VIIIZW036,10.65354,-10.82278,12580,2014.122,44.4,10,4.6,11123,14051,737480418172889088,1237652946382749732,58,52162,655
185,NGC234,10.88496,14.34261,4452,2006.899,40.6,5,5.9,3070,5847,471803493536000000,1237653651302711312,187,51812,419
185,NGC234,10.88496,14.34261,4452,2006.899,40.6,5,5.9,3070,5847,471803769353431040,1237653651302711312,188,51868,419
185,NGC234,10.88496,14.34261,4452,2006.899,40.6,5,5.9,3070,5847,471804044415887360,1237653651302711312,189,51879,419
