UID,Source_Name,Name_in_2018_paper_db,ra,dec,bestLum,Lum_2020,lum_from_2018_paper,Dist_from_2018_paper,Vsys_in_km_per_s,objClass_sym,objClass_int,specObjID,bestObjID,fiberID,mjd,plate
148,Arp_220,null,233.7383,23.50306,0,?,0,0,5434,?,0,2435337505558521856,1237665537075511390,58,53823,2163
97,CGCG_068-013,CGCG068-013,174.5334,11.19639,92,92,92,152.9,10707,?,0,1809347040543533056,1237661811196624933,94,53083,1607
130,CGCG_074-064,null,210.7686,8.9475,0,?,0,0,6886,?,0,2034521817552545792,1237662237477568543,75,54175,1807
140,CGCG_164-019,CGCG164-019,221.4033,27.03472,30,30,30,128,8963,?,0,2411797517822879744,0,436,54208,2142
154,CGCG_168-018,CGCG168-018,247.6705,30.48878,192,192,192,157.4,11015,?,0,1897196101832828928,1237662499473391943,199,53463,1685
163,CGCG_170-022,null,260.7357,31.34197,0,?,0,0,4543,?,0,3348582255764203520,1237671936045941057,567,54592,2974
93,CGCG_185-028,CGCG185-028,169.2505,32.59739,550,550,550,149.4,10455,?,0,2372300029416204288,1237665370118291481,105,53786,2107
99,CGCG_268-089,CGCG268-089,177.4404,50.52694,149,149,149,113.2,7924,?,0,1089963509267064832,1237658205583179783,336,52412,968
63,CGCG120-039,CGCG120-039,132.3087,23.38028,154,?,154,109.8,7684,?,0,2347566508521056256,1237665098459119724,237,53379,2085
146,CGCG165-035,null,228.6658,26.59417,0,?,0,0,9649,?,0,2425198371095472128,1237665128023785675,36,54539,2154
56,IC_485,IC485,120.0824,26.70144,1060,1060,1060,119.1,8338,D?,4,1046001188933232640,1237657878077702252,146,52581,929
100,IC_750,null,179.7175,42.72253,0,?,0,0,704,?,0,1629340769900849152,1237662195061686301,595,53120,1447
3,J0011-0054,2MASXJ00114518-0054303,2.938333,-0.9086111,527,527,527,205.5,14384,?,0,436852217593489408,1237657189832720581,11,51793,388
21,J0214-0016,2MASXJ02140591-0016371,33.52458,-0.2769444,74,74,74,160.1,11205,?,0,456035672227080192,1237663783675166871,168,51816,405
26,J0253-0014,2MASXJ02532956-0014052,43.37333,-0.2348889,4,4,4,124.2,8622,?,0,460503263771387904,1237663783679492134,37,51871,409
