UID,Galaxy,Distance,Luminosity
1,NGC23,65.2,180.0
2,2MASXJ11033836-0052081,122.6,26.0
3,NGC17,84.7,9.0
4,2MASXJ11093314+2837393,162.3,36.0
5,2MASXJ00114518-0054303,205.5,527.0
6,NGC3556,10.0,1.0
7,2MASXJ00272528+4544279,171.5,507.0
8,NGC3620,24.0,4.0
9,IC10,0.7,0.02
10,CGCG185-028,149.4,550.0
11,NGC235A,95.2,41.0
12,NGC3614,33.3,3.0
13,NGC253,3.4,0.2
14,Arp299,44.1,125.0
15,Mrk348,64.4,400.0
16,NGC3735,38.5,20.0
17,NGC291,81.5,74.0
18,CGCG068-013,152.9,92.0
19,ESO013-G012,72.1,500.0
20,NGC3783,41.7,22.0
21,2MASXJ01094510-0332329,233.8,1138.0
22,CGCG268-089,113.2,149.0
23,Mrk1,68.3,50.0
24,NGC4038/39,23.5,8.0
25,NGC520,32.4,1.0
26,2MASXJ12020465+3519173,146.0,520.0
27,2MASXJ01260163-0417564,80.4,112.0
28,UGC7016,103.9,22.0
29,M33,0.8,0.3
30,NGC4051,10.0,2.0
31,NGC591,65.0,25.0
32,NGC4151,14.2,0.6
33,NGC613,21.1,20.0
34,NGC4194,35.7,12.0
35,IC184,75.5,20.0
36,NGC4214,4.2,0.03
37,2MASXJ02140591-0016371,160.1,74.0
38,NGC4253,55.4,9.0
39,MRK1029,129.7,682.0
40,NGC4258,7.2,80.0
41,NGC1052,21.0,125.0
42,NGC4261,32.0,40.0
43,NGC1068,16.2,160.0
44,NGC4293,12.7,1.0
45,NGC1106,60.1,8.0
46,NGC4388,36.1,12.0
47,2MASXJ02532956-0014052,124.2,4.0
48,NGC4527,24.8,4.0
49,Mrk1066,51.5,32.0
50,NGC4633,22.6,0.06
51,NGC1194,58.2,112.0
52,2MASXJ12555984-0804329,57.3,266.0
53,NGC1320,38.0,43.0
54,ESO269-G012,71.6,1000.0
55,2MASXJ03364614-0750236,167.5,183.0
56,NGC4922B,100.8,200.0
57,NGC1386,12.4,125.0
58,NGC4945,8.0,50.0
59,IRAS03355+0104,170.4,227.0
60,NGC4968,42.2,53.0
61,IC342,3.3,0.01
62,NGC5077,40.1,71.0
63,2MFGC03185,176.8,3870.0
64,NGC5128,7.8,1.0
65,WISEPJ043703.69+245606.9,69.1,178.0
66,M51,7.8,0.6
67,2MASXJ04370825+6637424,53.9,20.0
68,NGC5256,120.3,32.0
69,IRAS04385-0828,64.7,43.0
70,NGC5253,3.5,1.0
71,UGC3157,66.0,85.0
72,SBS1344+527,125.2,379.0
73,UGC3193,63.6,270.0
74,NGC5347,33.4,32.0
75,Mrk1089,57.4,15.0
76,2MASXJ13553592+0553050,168.0,86.0
77,CGCG468-002,75.0,35.0
78,MCG+11-17-010,137.0,34.0
79,UGC3255,81.0,16.0
80,2MASXJ13564736+6937117,150.3,397.0
81,UGCA116,11.3,3.0
82,ESO446-G018,68.2,183.0
83,Mrk3,57.9,10.0
84,UGC9077,80.4,17.0
85,NGC2146,12.8,1.0
86,NGC5495,96.2,600.0
87,VIIZw073,177.0,137.0
88,Circinus,4.2,20.0
89,NGC2273,26.3,32.0
90,NGC5506,26.5,50.0
91,ESO558-G009,109.6,766.0
92,MCG-02-37-004,177.7,329.0
93,UGC3789,47.5,370.0
94,NGC5643,17.1,25.0
95,NGC2410,64.2,14.0
96,NGC5691,26.7,4.0
97,Mrk78,159.1,32.0
98,NGC5728,40.0,80.0
99,IC485,119.1,1060.0
100,CGCG164-019,128.0,30.0
101,Mrk1210,57.8,80.0
102,NGC5765,119.0,2277.0
103,He2-10,12.5,0.7
104,UGC9618,144.2,400.0
105,2MASXJ08362280+3327383,211.6,800.0
106,UGC9639,154.3,444.0
107,NGC2639,47.7,25.0
108,NGC5793,49.9,200.0
109,2MASXJ08474769-0022514,218.2,2210.0
110,2MASXJ15201964+5253560,159.2,44.0
111,CGCG120-039,109.8,154.0
112,UGC9954,147.4,30.0
113,2MASXJ09053008+0328232,120.3,132.0
114,2MASXJ16070391+0106296,116.7,6.0
115,NGC2781,29.3,14.0
116,IRAS16288+3929,131.2,16.0
117,2MASXJ09124641+2304273,155.6,143.0
118,CGCG168-018,157.4,192.0
119,NGC2782,36.6,13.0
120,NGC6240,104.8,40.0
121,NGC2824,39.4,500.0
122,NGC6264,145.4,2100.0
123,SBS0927+493,146.3,280.0
124,2MFGC13581,145.6,672.0
125,UGC5101,168.6,1900.0
126,2MASXJ17101815+1344058,135.0,69.0
127,Mrk1419,70.5,400.0
128,NGC6323,111.0,500.0
129,NGC2979,38.9,125.0
130,NGC6300,15.8,3.0
131,NGC2989,59.2,40.0
132,CGCG252-044,105.1,110.0
133,M82,3.7,200.0
134,UGC11035,111.4,291.0
135,NGC3081,33.8,17.0
136,ESO103-G35,56.9,400.0
137,NGC3079,16.1,500.0
138,2MASXJ19393889-0124328,88.4,160.0
139,2MASXJ10115058-1926436,115.1,371.0
140,3C403,252.7,2000.0
141,NGC3160,97.9,46.0
142,NGC6926,85.3,500.0
143,IC2560,41.4,100.0
144,IRAS20550+1656,154.6,908.0
145,2MASXJ10205956-0010342,239.7,65.0
146,UGC11685,83.9,80.0
147,NGC3256,40.1,10.0
148,IC1361,56.6,35.0
149,2MFGC08115,191.0,1135.0
