count2019_01,source_name_01_y,ra_01,dec_01
1,RXSJ00001+0523,0.0490833,5.38817
2,KUG2358+330,0.242083,33.3439
3,0001233+4733537,0.347083,47.5649
5,NGC-7806,0.37525,31.4419
6,0001383+2329011,0.409667,23.4836
7,0001419+2329452,0.424583,23.4958
8,UGC12915,0.424667,23.4959
10,0001523+4020109,0.467917,40.3364
11,CGCG517-014,0.493708,36.6492
12,NGC7811,0.610292,3.35189
13,Mrk334,0.791458,21.9605
14,UM016,0.79175,4.74894
15,NGC7814,0.812083,16.1456
16,UGC13,0.871667,27.3516
17,NGC7808,0.88375,-10.7447
19,NGC-7817,0.995458,20.7523
20,NGC-7819,1.10225,31.472
22,Mrk335,1.58137,20.2029
27,UGC00050,1.66733,26.1545
28,UGC52,1.70617,8.62853
29,NGC-1,1.81596,27.7081
30,2MASXJ00082041+,2.08542,40.6325
32,NGC-13,2.19887,33.4333
33,NGC-9,2.22787,23.817
34,NGC-16,2.26783,27.7294
35,2MASXJ00090793+,2.28292,14.4655
36,J0009+1427,2.28292,14.4655
37,UGC85,2.36937,47.3558
42,NGC-23,2.47258,25.9238
43,UM207,2.52762,-0.435944
44,MARK937,2.54162,-4.71056
46,NGC-26,2.60775,25.8318
47,Mrk1501,2.62912,10.975
48,NGC-21,2.69537,33.3528
49,NGC-29,2.69546,33.3528
50,ESO538-G025,2.72579,-21.0675
54,NGC0017,2.77729,-12.1073
55,J0011-0054,2.93833,-0.908583
56,001145-005430,2.93842,-0.908556
58,UM213,3.07425,-0.102889
59,NGC-39,3.07862,31.0611
60,001238-000803,3.15842,-0.134417
61,NGC41,3.19996,22.0233
63,UGC119,3.26292,14.41
65,IRAS00129+0021,3.87375,0.639694
66,J0016+1556,4.0055,15.943
68,001708-005728,4.28654,-0.958028
69,ESO-539-G5,4.2925,-19.3015
70,001717-121507,4.32121,-12.252
73,0018142+5357542,4.55917,53.9651
74,NGC70,4.59375,30.0795
76,IRAS00160-0719,4.64954,-7.04892
77,2MASXJ00183589-,4.64958,-7.04889
79,ARP256NED01,4.71192,-10.3768
80,001936-044010,4.89996,-4.66944
81,IC9,4.93329,-14.1219
83,001947+003526,4.94721,0.590806
84,CGCG456-060,4.99308,19.4023
85,J002025+004934,5.10742,0.826333
86,0021313,5.38033,38.0769
89,UGC215,5.61042,29.5042
91,002349-001804,5.95542,-0.301111
92,CGCG479-024NED0,6.00967,25.6625
94,002433-130009,6.13912,-13.0025
95,UGC-232,6.16125,33.2562
97,UGC233,6.17792,14.8245
98,CGCG457-013,6.18167,21.1011
99,UGC00238,6.26396,31.3447
101,MRK945,6.47867,-3.42086
102,NGC-108,6.49887,29.2121
103,NGC118,6.8175,-1.78028
105,0027252+4544279,6.85504,45.7411
106,NGC-124,6.96833,-1.81028
107,UGC-275,6.99421,2.50747
108,002759-073403,6.99958,-7.56747
109,MRK0948,7.05979,7.12925
110,UGC284,7.14317,33.2724
111,2MASXJ00283779-,7.15746,-9.99833
113,PG0026+129,7.30708,13.2678
114,NGC-128,7.31292,2.86417
117,KUG0027-025,7.46525,-2.28336
118,003007-110649,7.53046,-11.1137
120,003053-091228,7.72412,-9.20789
121,NGC137,7.74208,10.2084
122,UGC313,7.85875,6.20667
123,0031293+1722567,7.87204,17.3824
124,UM254,7.89283,-2.15464
125,0032482+1447380,8.20075,14.7939
126,UGC323,8.21004,11.7369
127,NGC-151,8.51162,-9.70531
128,ESO540-G001,8.55746,-21.4392
130,NGC-150,8.56446,-27.8036
131,003443-000226,8.68133,-0.0407778
132,FGC0061,8.68133,-0.0407222
133,NGC-157,8.69479,-8.39644
134,J003502-092206,8.76221,-9.36842
135,CGCG434-024,8.77708,14.3547
137,2MASXJ00354660+,8.94429,13.88
138,NGC166,8.95329,-13.6106
140,J003610+043807,9.04417,4.63525
142,ESO350-IG038,9.21954,-33.5547
143,NGC-174,9.24546,-29.4778
144,3C15,9.26704,-1.15217
145,B2_0034+25,9.27287,25.6989
146,NGC-173,9.30208,1.94222
147,NGC-177,9.39321,-22.5493
148,Mrk955,9.39912,0.280583
149,003736+001650,9.39921,0.280667
151,NGC180,9.49042,8.63522
153,IC-1562,9.64146,-24.2741
155,UGC-398,9.73975,25.6386
156,NGC185,9.7415,48.3374
157,NGC-209,9.765,-18.6083
158,NGC-192,9.80583,0.864194
160,NGC193,9.8275,3.33119
161,CGCG479-054,9.85708,25.2558
162,NGC-201,9.89504,0.859889
163,J003935-091140,9.89912,-9.19453
164,003948-090834,9.95162,-9.14294
165,NGC-210,10.1459,-13.8728
168,ESO540-G014,10.2987,-21.1317
171,2MASXJ00412528+,10.3554,13.7261
173,NGC-214,10.3668,25.4993
177,IC-43,10.5919,29.6416
178,MRK1143,10.6413,3.257
179,VIIIZw036,10.6535,-10.8228
180,MESSIER031,10.6847,41.269
181,NGC235A,10.72,-23.5411
182,3C20,10.7866,52.0594
183,004314-272936,10.81,-27.4934
184,NGC237,10.8659,-0.125
185,NGC-234,10.885,14.3426
186,UGC-465,10.9615,32.8534
187,IC-49,10.9839,1.85028
188,ESO540-G017NED0,11.0908,-17.3511
189,NGC-245,11.5225,-1.72333
190,J004616-091719,11.568,-9.28867
192,UGC-484,11.7333,32.6754
193,UGC488,11.8308,14.7036
196,NGC253,11.888,-25.2884
198,004739-275651,11.915,-27.9475
199,NGC-255,11.9471,-11.4687
201,NGC-251,11.9751,19.5968
202,IC1586,11.9845,22.3728
204,2MASXJ00475976+,11.9991,13.7427
205,Mrk348,12.1962,31.9569
207,MRK557,12.2218,-2.38197
208,NGC-266,12.4492,32.2777
209,MCG-02-03-025,12.4848,-12.2181
210,UGC512,12.5112,7.91892
211,NGC-271,12.6746,-1.91028
212,NGC274,12.7575,-7.05694
213,UGC524,12.8958,29.4014
214,IRAS00494-3056,12.9659,-30.6666
215,MRK1148,12.9784,17.4329
216,NGC-279,13.0375,-2.21833
217,2MFGC00638,13.2334,15.7855
218,UGC540,13.2429,29.0325
219,005329-084604,13.3747,-8.76781
220,NGC291,13.3747,-8.76778
221,IZw1,13.3954,12.6934
222,005420-233309,13.5854,-23.5525
223,UGC556,13.7095,29.2467
224,PG0052+251,13.717,25.4274
225,CGCG501-043,13.8446,30.4872
228,NGC-307,14.1358,-1.77194
229,TonS180,14.3342,-22.3822
230,3C29,14.3954,-1.39111
231,NGC0315,14.4537,30.3525
233,005800-001727,14.502,-0.290889
234,2MASXJ00584070+,14.6696,8.79911
235,NGC334,14.7075,-35.116
236,J0059+0100,14.7671,1.00111
237,0059135-0222416,14.8063,-2.37819
238,UGC615,14.9171,15.3311
239,005942+005459,14.9255,0.916611
240,J005950-073438,14.9587,-7.578
241,Mrk352,14.9721,31.8269
242,NGC-338,15.1517,30.6689
243,IRAS00579+3003,15.1604,30.3163
244,J0100-0911,15.191,-9.18572
246,IC-65,15.231,47.682
247,J010119-095042,15.3311,-9.84525
248,UM082,15.3354,6.91417
249,NGC-351,15.4908,-1.93669
250,2MASXJ01021132+,15.5472,14.5061
251,CGCG520-008,15.6283,34.2758
252,2MASXJ01023915-,15.663,-0.878778
253,MRK969,15.6675,-12.8492
254,NGC354,15.8183,22.3428
255,NGC-357,15.8412,-6.33922
256,J010324-105121,15.8507,-10.8559
257,2MASXJ01033102-,15.8792,-12.2686
258,010411+140653,16.0469,14.1148
260,010623-000841,16.5998,-0.144833
261,UM85,16.6883,6.63389
262,010716-003837,16.8193,-0.643694
264,NGC-385,16.8635,32.3198
265,2MASXJ01080350+,17.0148,22.0658
266,NGC-392,17.0977,33.1336
269,HS0106+1304,17.2202,13.3372
270,3C033,17.2203,13.3372
271,UGC-714,17.3085,32.1514
272,NGC-404,17.3625,35.7178
274,J0109-0332,17.4379,-3.54247
275,2MASXJ01094510-,17.438,-3.54244
277,2MASXJ01095192+,17.4664,15.8561
279,SDSSJ011016.00+,17.5667,15.0878
280,UGC-728,17.6205,43.2877
281,J011038-001640,17.6594,-0.278028
285,NGC-420,18.04,32.1232
286,011248-001724,18.2025,-0.290194
287,011259-060835,18.2495,-6.14303
289,UGC768,18.29,2.28778
291,011333+002948,18.3877,0.496639
292,MRK1152,18.4587,-14.8456
293,MARK975,18.4625,13.2717
294,UGC774,18.4625,13.2716
295,UGC-784,18.517,-1.74222
296,IC1657,18.5292,-32.6508
299,011429+001254,18.6244,0.215194
300,2MASXJ01142985+,18.6246,0.21525
301,011443+001709,18.6828,0.286
302,UGC793NED01,18.7029,-0.496111
303,IC-1654,18.7995,30.1948
305,011603-000652,19.0138,-0.114639
306,NGC446,19.015,4.29414
309,Mrk1,19.03,33.0894
318,NGC-452,19.0617,31.0338
321,UGC829,19.4404,10.1972
323,011845+145935,19.691,14.9932
324,011905+003745,19.7715,0.629222
325,UGC00841,19.7921,33.0306
326,MARK567,19.8255,4.578
327,2MASXiJ0119220+,19.8417,32.7064
328,UGC00849,19.8507,12.4469
329,116+31,19.8958,32.1806
330,NGC-470,19.9369,3.40994
331,CGCG436-030,20.0112,14.3619
334,NGC-474,20.028,3.41528
335,CGCG459-032,20.0612,17.8303
336,CGCG551-015,20.1287,50.1447
337,012046-082926,20.1954,-8.49061
338,UGC-890,20.2833,1.37333
339,IRAS01189+2156,20.434,22.2093
340,NGC-488,20.4452,5.25675
341,MRK1503,20.4992,-1.04003
342,UGC911,20.5416,32.2158
343,IC1683,20.6625,34.437
344,NGC-495,20.7333,33.4716
346,NGC-499,20.7979,33.4606
347,MCG-01-04-032,20.8,-6.63611
348,VV730,20.8312,7.795
349,UM319,20.8382,-1.97669
350,UGC933,20.8483,15.2147
352,NGC-504,20.8662,33.2044
353,NGC-507,20.9167,33.2556
355,IC1689,20.9491,33.0553
356,NGC526a,20.9766,-35.0654
357,NGC0526A,20.9766,-35.0656
358,NGC-512,20.9991,33.9078
359,NGC-514,21.0162,12.9174
360,J012407+105713,21.0316,10.9538
361,IRAS01217+0122,21.1,1.6425
362,NGC513,21.1118,33.7994
370,UGC964,21.1458,7.72108
373,NGC-517,21.1825,33.4294
374,NGC-524,21.1988,9.53889
375,J012448+005436,21.2038,0.910028
376,UM103,21.3658,3.00333
377,012529-000326,21.3713,-0.0573056
378,UGC00987,21.3811,32.1365
381,NGC-528,21.39,33.6717
382,NGC-529,21.4183,34.7133
383,NGC541,21.4346,-1.37942
384,NGC547,21.5025,-1.34525
385,012601-041756,21.5067,-4.29889
388,J0126-0417,21.5069,-4.29894
389,NGC536,21.5909,34.7031
390,MARK358,21.64,31.6164
395,Mrk359,21.8855,19.1788
397,NGC-551,21.9194,37.1829
398,J012753+284751,21.9747,28.7976
399,NGC-565,22.0425,-1.30611
400,NGC-561,22.0781,34.3086
401,CGCG537-004,22.0858,40.2244
404,012839+144553,22.1662,14.7649
406,IC123,22.2146,2.44639
407,012853+134737,22.2219,13.7938
408,012940+143018,22.4204,14.5051
410,013006+131702,22.5258,13.2839
412,NGC-575,22.6943,21.4404
414,UGC-1083,22.7426,14.1084
415,UGC1093,22.9642,17.5653
416,J013225+005836,23.1061,0.976667
417,NGC-587,23.1389,35.3586
419,NGC600,23.2733,-7.31181
423,NGC591,23.3803,35.6683
428,NGC0612,23.4907,-36.4932
429,013402-010432,23.5101,-1.07572
430,UGC-1120,23.5102,-1.07578
432,013402.5-094627,23.5106,-9.77417
433,UGC-1123,23.5334,-1.03222
436,NGC613,23.5758,-29.4186
437,013435-153016,23.6458,-15.5044
438,CGCG521-048,23.7415,33.9237
439,MRK1158,23.747,35.0394
440,NGC-615,23.7737,-7.34031
441,013509-252344,23.79,-25.3956
442,013536+000053,23.9027,0.0149167
443,J013557+264538,23.9913,26.7615
446,NGC631,24.1958,5.83528
447,NGC-621,24.2042,35.5122
448,NGC632,24.3229,5.87781
450,UM347,24.4511,2.29094
451,RXSJ01380+2136,24.5087,21.6034
452,UGC01160,24.5135,32.4944
453,KUG0135-131,24.5225,-12.8697
454,NGC-634,24.5777,35.3648
455,UGC-1166,24.645,34.9921
457,IRAS01364-1042,24.7203,-10.4531
458,ESO543-G008,24.835,-20.4531
459,013924-092404,24.8537,-9.40119
461,J014007-091619,25.031,-9.27211
462,NGC-645,25.0362,5.72669
463,SDSSJ01402+1452,25.0688,14.8675
464,014140-060949,25.4188,-6.16358
465,SDSSJ01417+1340,25.43,13.6756
466,NGC-658,25.5402,12.6019
468,NGC-656,25.6135,26.1431
469,NGC0660,25.7598,13.6457
470,014302+133842,25.76,13.6451
472,MARK573,25.9908,2.34994
474,IRAS01418+1651,26.1271,17.1014
475,IRASF01417+3424,26.16,34.6603
476,CGCG482-008,26.2083,21.8824
477,IC154,26.3177,10.6492
478,IC1726,26.3321,4.61861
479,NGC-668,26.5945,36.4603
480,MS01442-0055,26.6862,-0.678639
481,014659+130730,26.7465,13.1251
482,0147066+2338356,26.7775,23.6432
484,NGC-669,26.8173,35.5633
485,NGC-670,26.8536,27.8857
486,J014803+225512,27.016,22.9199
487,J0148-0849,27.1151,-8.82519
488,NGC-686,27.2339,-23.7981
489,NGC676,27.2387,5.90753
490,014914+130319,27.3085,13.0553
491,UGC-1272,27.3154,35.073
492,2MASXJ01492126+,27.3387,13.8144
493,NGC-678,27.3536,21.9973
494,UGC-1277,27.3572,35.4529
499,J0149+1350,27.4292,13.8374
500,NGC679,27.4324,35.7856
501,2MASXJ01500266-,27.5113,-7.43
502,NGC-684,27.5584,27.6456
503,J015023+304812,27.5996,30.8033
504,015027-083122,27.6151,-8.52292
505,NGC693,27.6283,6.14528
506,NGC687,27.6385,36.3708
507,NGC-691,27.6737,21.76
508,NGC-688,27.6841,35.2845
509,015050-084510,27.7091,-8.75281
510,2MASXJ01505086-,27.7118,-0.379833
511,NGC-694,27.7438,21.9975
512,IC-167,27.7854,21.9128
513,IRAS01487-1245,27.795,-12.5144
514,NGC-697,27.8233,22.3581
516,NGC-706,27.9606,6.29689
517,UGC-1328,27.9666,17.053
518,NGC-711,28.1154,17.5128
519,UGC-1344,28.1446,36.5009
520,NGC-703,28.165,36.1714
521,NGC0708,28.1936,36.1519
522,NGC708,28.1937,36.1519
523,015248-084320,28.2017,-8.72244
524,MCG-01-05-047,28.2041,-3.44683
526,NGC-716,28.2487,12.7083
527,NGC712,28.2852,36.8199
529,NGC-718,28.3054,4.19581
530,NGC-714,28.3735,36.2213
531,2MASXJ01533787+,28.4078,0.866139
532,J015435+643757,28.6471,64.6326
534,UGC1385,28.7242,36.9179
535,J015454+004840,28.726,0.811194
536,2MASXJ01551765+,28.8233,12.9931
537,015518+002912,28.8277,0.486722
540,015524-255551,28.8517,-25.9308
541,CGCG412-047,28.8582,8.69175
542,NGC-749,28.9213,-29.9223
544,J015611+064440,29.0463,6.74628
546,UGC1378,29.0802,73.2828
547,NGC741,29.0876,5.629
548,0156218+4442325,29.0908,44.709
550,NGC-735,29.1582,34.1768
551,UGC1416,29.1917,36.8864
553,015705-002806,29.2723,-0.468389
555,NGC-753,29.4258,35.9161
556,UGC1449,29.5279,3.0875
557,UGC1455,29.7,24.8925
558,IC-178,29.7287,36.6747
559,UGC-1285,29.7557,86.6737
560,NGC-772,29.8316,19.0075
562,01592355,29.8479,21.5834
563,0159236+2135000,29.8483,21.5833
564,NGC-774,29.8946,14.0083
566,IC-182,29.9659,7.41192
567,NGC-776,29.977,23.6443
569,NGC777,30.0622,31.4294
570,UGC-1478,30.0623,24.2528
571,UGC01479,30.0794,24.4737
573,UGC-1493,30.2288,38.2107
576,NGC-788,30.2771,-6.81558
578,ESO-414-G25,30.5512,-28.6578
579,NGC-792,30.5639,15.7122
581,IC-193,30.6291,11.0931
582,020242+124804,30.6774,12.8012
583,2MASXJ02025818+,30.7425,14.1016
585,J020342-080620,30.9255,-8.10561
587,IC-195,30.9358,14.7093
588,IC-196,30.9574,14.7392
589,IC200,31.3609,31.1753
591,Mrk1018,31.5667,-0.291528
592,2MASXJ02061640+,31.5683,32.3192
593,020642-005137,31.6773,-0.860444
594,NGC-823,31.8337,-25.4428
595,NGC817,31.8904,17.2028
596,NGC-820,32.1041,14.3496
597,NGC829,32.1767,-7.79056
598,NGC-818,32.1854,38.7772
600,IC209,32.2446,-7.05894
601,NGC0833,32.3366,-10.133
602,020920-100759,32.3368,-10.1331
603,NGC835,32.3525,-10.1358
604,2MASXJ02092505+,32.3545,0.399389
607,KUG0207-092,32.5479,-9.06
608,UGC1669,32.6571,5.87
609,021051+140634,32.7166,14.1095
610,021106-003920,32.7765,-0.655778
612,NGC851,32.8004,3.77972
613,NGC-841,32.8224,37.4971
614,021121+143015,32.8409,14.5043
615,IRAS02096-0526,33.0207,-5.20942
617,021338-004302,33.4098,-0.717306
619,UGC1716,33.4377,4.10222
620,CGCG538-034,33.4992,41.8766
621,NGC855,33.515,27.8772
622,021404+131156,33.5183,13.199
623,IC214,33.5233,5.17328
624,J0214-0016,33.5246,-0.276972
626,021405-001637,33.5247,-0.276972
628,Mrk590,33.6398,-0.766694
629,021433-004600,33.64,-0.766667
631,NGC-864,33.8651,6.00258
632,IC-1784,34.0533,32.6494
636,Mrk1029,34.2649,5.29203
640,NGC867,34.27,1.24417
642,NGC-871,34.2947,14.5478
643,UGC01757,34.346,38.4139
644,J021733+293118,34.3912,29.5218
645,NGC-877,34.4985,14.5441
646,VV302a,34.5593,-12.2319
647,UGC1773,34.5633,13.2045
651,UGC-1792,34.9697,29.0363
652,MARK1400,35.057,8.20553
653,UGC-1814,35.3488,16.5658
655,NGC-890,35.5042,33.2661
657,J0222-0843,35.6817,-8.719
658,NGC-908,35.7691,-21.2334
659,3C66B,35.7976,42.9919
660,CGCG538-059,35.9737,42.2061
