count2019_01,sourcename,ra,dec,Velo,Tsys,Int,Rms1,Vlo1,Vhi1
1,RXSJ00001+0523,0.0490833,5.38817,11992,51.3,3,10.9,10631,13365
2,KUG2358+330,0.242083,33.3439,12921,36.5,8,4.0,11461,14395
3,0001233+4733537,0.347083,47.5649,5237,39.5,10,3.6,3848,6639
5,NGC-7806,0.37525,31.4419,4768,42.2,5,6.1,3383,6166
6,0001383+2329011,0.409667,23.4836,4382,38.9,10,3.8,3000,5776
7,0001419+2329452,0.424583,23.4958,4393,38.3,10,3.5,3011,5787
8,UGC12915,0.424667,23.4959,4336,27.1,28,1.5,3994,6788
10,0001523+4020109,0.467917,40.3364,13568,45.1,10,4.1,12102,15048
11,CGCG517-014,0.493708,36.6492,9609,38.8,10,3.8,8179,11051
12,NGC7811,0.610292,3.35189,7650,41.9,9,4.4,6238,9074
13,Mrk334,0.791458,21.9605,6600,28.1,36,1.8,5198,8014
14,UM016,0.79175,4.74894,17358,45.6,44,2.0,16982,20021
15,NGC7814,0.812083,16.1456,1050,34.9,10,3.1,-301,2414
16,UGC13,0.871667,27.3516,7690,31.9,10,2.9,6278,9115
17,NGC7808,0.88375,-10.7447,8787,44.3,10,4.4,7454,10132
19,NGC-7817,0.995458,20.7523,2309,42.4,5,5.4,946,3684
20,NGC-7819,1.10225,31.472,4958,39.7,5,5.9,3571,6357
22,Mrk335,1.58137,20.2029,7730,35.7,10,3.7,6318,9155
27,UGC00050,1.66733,26.1545,7552,26.8,24,1.6,7202,10056
28,UGC52,1.70617,8.62853,5257,52.2,10,5.1,3867,6659
29,NGC-1,1.81596,27.7081,4545,41.1,5,5.9,3162,5941
30,2MASXJ00082041+,2.08542,40.6325,13389,69.4,10,7.7,11925,14867
32,NGC-13,2.19887,33.4333,4808,41.4,5,6.0,3422,6206
33,NGC-9,2.22787,23.817,4528,41.8,5,5.6,3145,5923
34,NGC-16,2.26783,27.7294,3056,42.2,5,5.6,1686,4438
35,2MASXJ00090793+,2.28292,14.4655,12423,38.8,10,3.8,10967,13892
36,J0009+1427,2.28292,14.4655,12429,47.7,10,4.9,10973,13898
37,UGC85,2.36937,47.3558,5153,63.4,20,4.2,3764,6554
43,UM207,2.52762,-0.435944,9648,25.2,10,2.1,8218,11091
44,MARK937,2.54162,-4.71056,8846,42.5,10,4.4,7512,10192
46,NGC-26,2.60775,25.8318,4589,41.2,5,5.7,3205,5985
47,Mrk1501,2.62912,10.975,26783,48.0,6,6.6,25290,28290
48,NGC-21,2.69537,33.3528,4859,41.1,5,5.9,3473,6257
49,NGC-29,2.69546,33.3528,4589,41.7,5,5.8,3205,5985
50,ESO538-G025,2.72579,-21.0675,7768,62.1,10,6.6,6355,9193
56,001145-005430,2.93842,-0.908556,14390,34.1,10,3.0,12916,15877
58,UM213,3.07425,-0.102889,12149,31.5,20,1.9,10695,13615
59,NGC-39,3.07862,31.0611,4857,42.4,5,5.9,3471,6255
60,001238-000803,3.15842,-0.134417,11691,33.7,10,2.9,10242,13153
61,NGC41,3.19996,22.0233,5949,34.2,10,3.2,4553,7357
63,UGC119,3.26292,14.41,2032,39.0,10,3.5,671,3405
